"people_id","party","legislator_name","last_name","ballotpedia","district_number","chamber","termination_date","setting_party_loyalty","leg_party_loyalty","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","rank_partisan_leg_R","rank_partisan_leg_D","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
23359,"R","Adam Anderson","Anderson","http://ballotpedia.org/Adam_Anderson",57,"House",NA,"partisan_cross",0.990610328638498,213,211,1052,2,82,1,0,39,NA,123338,10473,6106,3529,607,35,144207,0.855284417538677,0.072624768561859,0.0423419112803123,0.0244717662804163,0.00445193367867024,"CVAP",2022,0.415830988552532,0.570459412752059,"R",15,15,23359,48,72
22261,"R","Adam Botana","Botana","http://ballotpedia.org/Adam_Botana",80,"House",NA,"partisan_cross",0.990654205607477,214,212,992,2,38,0,0,38,NA,133772,10650,2097,2686,477,53,149903,0.892390412466728,0.0710459430431679,0.0139890462499083,0.0179182538041267,0.00353561970073981,"CVAP",2022,0.339456088222272,0.652638872546005,"R",31,31,22261,19,102
21782,"R","Alejandro Rizo","Rizo","http://ballotpedia.org/Alex_Rizo",112,"House",NA,"partisan_cross",0.995391705069124,217,216,1025,1,33,1,0,27,NA,5155,91512,1733,458,82,4,98989,0.0520764933477457,0.924466354847508,0.0175069957267979,0.00462677671256402,0.000868783400175777,"CVAP",2022,0.342983257690758,0.648363355710255,"R",31,31,21782,21,104
19919,"R","Alex Andrade","Andrade","http://ballotpedia.org/Alex_Andrade",2,"House",NA,"partisan_cross",0.979381443298969,194,190,963,4,44,4,0,63,NA,102889,6984,25864,4420,2075,230,143001,0.719498465045699,0.0488388193089559,0.180865868070853,0.0309088747631135,0.016118768400221,"CVAP",2022,0.393921622563684,0.586063438960723,"R",19,19,19919,42,76
23320,"R","Alexis Calatayud","Calatayud","http://ballotpedia.org/Alexis_Calatayud",38,"Senate",NA,"partisan_cross",0.965714285714286,175,169,1258,6,45,0,0,21,NA,73729,214893,44747,7750,895,75,343405,0.214699844207277,0.625771319578923,0.13030386860995,0.0225681047160059,0.00282465310639041,"CVAP",2022,0.518889667397938,0.470930320379531,"D",5,-5,23320,28,13
23330,"R","Alina Garcia","Garcia","http://ballotpedia.org/Alina_Garcia",115,"House",NA,"partisan_cross",0.975369458128079,203,198,897,5,16,4,0,67,NA,33449,75952,6548,2994,300,30,119795,0.27921866521975,0.634016444759798,0.0546600442422472,0.0249926958554197,0.00275470595600818,"CVAP",2022,0.47219125251499,0.517788076270135,"R",5,5,23330,70,53
21700,"D","Allison Tant","Tant","http://ballotpedia.org/Allison_Tant",9,"House",NA,"partisan_cross",0.850515463917526,194,165,1031,29,83,5,7,NA,28,103723,8039,26577,4010,934,70,143562,0.722496203730792,0.0559967122218972,0.185125590337276,0.0279321826109973,0.00699349410011006,"CVAP",2022,0.523551978854558,0.462137281994059,"D",6,-6,21700,82,38
20905,"R","Ana Rodriguez","Rodriguez","http://ballotpedia.org/Ana_Maria_Rodriguez",40,"Senate",NA,"partisan_cross",0.970443349753695,203,197,1606,6,14,1,0,20,NA,82624,238688,25654,5748,1024,149,354498,0.233073247239759,0.673312684415709,0.0723671219583749,0.0162144779378163,0.00330890442259195,"CVAP",2022,0.429840148425817,0.559571117543529,"R",13,13,20905,22,19
22550,"D","Angela Nixon","Nixon","http://ballotpedia.org/Angela_Nixon",13,"House",NA,"partisan_cross",0.989071038251366,183,181,826,2,172,61,9,NA,2,58635,7173,66298,3299,835,120,136400,0.429875366568915,0.0525879765395894,0.486055718475073,0.0241862170087977,0.00700146627565982,"CVAP",2022,0.617712099531427,0.366984013946359,"D",25,-25,22550,101,20
19701,"D","Anna Eskamani","Eskamani","http://ballotpedia.org/Anna_Eskamani",42,"House",NA,"partisan_cross",0.971311475409836,244,237,1051,7,12,49,11,NA,9,97458,25943,12813,5880,995,10,143534,0.678988950353226,0.180744631933897,0.0892680479886299,0.0409659035489849,0.00700182535148467,"CVAP",2022,0.563758607936144,0.419839212043601,"D",14,-14,19701,92,29
23329,"D","Ashley Gantt","Gantt","http://ballotpedia.org/Ashley_Gantt",109,"House",NA,"partisan_cross",0.972,250,243,1050,7,62,70,13,NA,8,5564,52772,49914,873,162,59,109392,0.0508629515869533,0.482411876554044,0.45628565160158,0.00798047389205792,0.00202025742284628,"CVAP",2022,0.759898522770007,0.229014159935405,"D",53,-53,23329,116,6
12360,"R","Ben Albritton","Albritton","http://ballotpedia.org/Ben_Albritton",27,"Senate",NA,"partisan_cross",1,166,166,1233,0,121,0,0,3,NA,313127,58035,35067,6530,2656,333,416617,0.751594390051294,0.139300604632072,0.0841708331633131,0.0156738683251044,0.00717445519505925,"CVAP",2022,0.333286097573748,0.654635446807836,"R",32,32,12360,4,37
23354,"R","Berny Jacques","Jacques","http://ballotpedia.org/Berny_Jacques",59,"House",NA,"partisan_cross",1,267,267,1190,0,20,21,0,1,NA,117192,12158,10062,4401,1353,110,145415,0.805914107898085,0.0836089811917615,0.0691950624075921,0.0302651033249665,0.0100608602963931,"CVAP",2022,0.426530052589178,0.558028387862726,"R",13,13,23354,53,68
17099,"R","Blaise Ingoglia","Ingoglia","http://ballotpedia.org/Blaise_Ingoglia",11,"Senate",NA,"partisan_cross",0.971014492753623,138,134,1025,4,55,7,0,19,NA,383867,36580,20761,5630,3467,200,451583,0.850047499573722,0.0810039350462706,0.04597382983859,0.0124672540817524,0.00812032339569913,"CVAP",2022,0.303815180229548,0.684617588685299,"R",38,38,17099,2,39
