"people_id","person_hash","party_id","state_id","party","role_id","role","legislator_name","first_name","middle_name","last_name","suffix","nickname","district","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","committee_sponsor","committee_id","state_federal","session"
12360,"78xpo0kc","2",9,"R",2,"Sen","Ben Albritton","Ben","","Albritton","","","SD-027",12998756,117015,"",291098,"http://ballotpedia.org/Ben_Albritton","",0,0,0,"2023-2023_Regular_Session"
12362,"6u9spcbt","2",9,"R",2,"Sen","Dennis Baxley","Dennis","K.","Baxley","","","SD-013",575403,54010,"",205873,"http://ballotpedia.org/Dennis_Baxley","",0,0,0,"2023-2023_Regular_Session"
12363,"z9j4lnrg","1",9,"D",2,"Sen","Lori Berman","Lori","B.","Berman","","","SD-026",28610,117031,"",291114,"http://ballotpedia.org/Lori_Berman","",0,0,0,"2023-2023_Regular_Session"
12366,"ix4l0t68","2",9,"R",2,"Sen","Jason Brodeur","Jason","T.","Brodeur","","","SD-010",67542,117042,"",289456,"http://ballotpedia.org/Jason_Brodeur","",0,0,0,"2023-2023_Regular_Session"
12367,"dw4kxupl","2",9,"R",2,"Sen","Douglas Broxson","Douglas","Vaughn","Broxson","","Doug","SD-001",6692589,117045,"",289436,"http://ballotpedia.org/Doug_Broxson","",0,0,0,"2023-2023_Regular_Session"
12379,"s5v8rbs6","2",9,"R",2,"Sen","Gayle Harrell","Gayle","B.","Harrell","","","SD-031",54371,53962,"",205899,"http://ballotpedia.org/Gayle_Harrell","",0,0,0,"2023-2023_Regular_Session"
12387,"0yi34b0r","2",9,"R",2,"Sen","Kathleen Passidomo","Kathleen","C.","Passidomo","","","SD-028",70284,124279,"",308804,"http://ballotpedia.org/Kathleen_Passidomo","",0,0,0,"2023-2023_Regular_Session"
12389,"w3dkasgx","2",9,"R",2,"Sen","Keith Perry","Keith","","Perry","","","SD-009",102382,172651,"",291044,"http://ballotpedia.org/Keith_Perry","",0,0,0,"2023-2023_Regular_Session"
14052,"fs1ffj9m","1",9,"D",2,"Sen","Linda Stewart","Linda","A.","Stewart","","","SD-017",11029923,81128,"",386477,"http://ballotpedia.org/Linda_Stewart","",0,0,0,"2023-2023_Regular_Session"
14984,"lisn9mrt","2",9,"R",2,"Sen","Travis Hutson","Travis","","Hutson","","","SD-007",125042,138133,"",425545,"http://ballotpedia.org/Travis_Hutson","",0,0,0,"2023-2023_Regular_Session"
14986,"5k3polun","1",9,"D",2,"Sen","Victor Torres","Victor","M.","Torres","Jr.","","SD-025",11029363,11880,"",425420,"http://ballotpedia.org/Victor_Torres_(Florida)","",0,0,0,"2023-2023_Regular_Session"
15147,"50hj6c4b","1",9,"D",2,"Sen","Bobby Powell","Bobby","","Powell","Jr.","","SD-024",11029424,139317,"",285418,"http://ballotpedia.org/Bobby_Powell","",0,0,0,"2023-2023_Regular_Session"
15947,"lxcwwsqv","1",9,"D",1,"Rep","Bruce Antone","Bruce","","Antone","","","HD-041",1532328,53877,"",200765,"http://ballotpedia.org/Bruce_Antone","",0,0,0,"2023-2023_Regular_Session"
16026,"499cim6s","1",9,"D",2,"Sen","Shevrin Jones","Shevrin","D.","Jones","","Shev","SD-034",13889121,142186,"",425634,"http://ballotpedia.org/Shevrin_Jones","",0,0,0,"2023-2023_Regular_Session"
16389,"dtxflghv","2",9,"R",2,"Sen","Colleen Burton","Colleen","","Burton","","","SD-012",24949083,149396,"",484631,"http://ballotpedia.org/Colleen_Burton_(Florida)","",0,0,0,"2023-2023_Regular_Session"
16595,"feomdl8z","2",9,"R",2,"Sen","Daniel Burgess","Daniel","Wright","Burgess","Jr.","Danny","SD-023",25004958,149394,"",484629,"http://ballotpedia.org/Daniel_Burgess","",0,0,0,"2023-2023_Regular_Session"
1664,"1ukjmsyb","2",9,"R",2,"Sen","Ed Hooper","Ed","","Hooper","","","SD-021",1287627,53831,"",248530,"http://ballotpedia.org/Ed_Hooper","",0,0,0,"2023-2023_Regular_Session"
16763,"un7eu4cm","2",9,"R",2,"Sen","Jay Trumbull","Jay","","Trumbull","","","SD-002",25005017,149501,"",484526,"http://ballotpedia.org/Jay_Trumbull","",0,0,0,"2023-2023_Regular_Session"
1678,"grc5uk91","2",9,"R",2,"Sen","Debbie Mayfield","Debbie","","Mayfield","","","SD-019",68943,107965,"",269005,"http://ballotpedia.org/Debbie_Mayfield","",0,0,0,"2023-2023_Regular_Session"
1706,"sk3rdyfd","1",9,"D",2,"Sen","Darryl Rouson","Darryl","Ervin","Rouson","","","SD-016",157259,104952,"",264391,"http://ballotpedia.org/Darryl_Rouson","",0,0,0,"2023-2023_Regular_Session"
17099,"i7iok1n3","2",9,"R",2,"Sen","Blaise Ingoglia","Blaise","","Ingoglia","","","SD-011",68334,149443,"",484625,"http://ballotpedia.org/Blaise_Ingoglia","",0,0,0,"2023-2023_Regular_Session"
1714,"4sermeti","1",9,"D",1,"Rep","Kelly Skidmore","Kelly","","Skidmore","","","HD-092",30956,68159,"",200983,"http://ballotpedia.org/Kelly_Skidmore","",0,0,0,"2023-2023_Regular_Session"
