"people_id","person_hash","state_id","party","legislator_name","first_name","middle_name","last_name","suffix","nickname","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","district_number","chamber","mean_partisanship","n_votes"
23359,"174k0tvr",9,"R","Adam Anderson","Adam","","Anderson","","",55866434,209492,"",0,"http://ballotpedia.org/Adam_Anderson","",57,"House",0.00158102766798419,1265
22261,"b6kfhnbd",9,"R","Adam Botana","Adam","","Botana","","",49845673,194550,"",740462,"http://ballotpedia.org/Adam_Botana","",80,"House",0.00165837479270315,1206
21782,"87jh4enj",9,"R","Alejandro Rizo","Alejandro","","Rizo","Jr.","Alex",49845738,194462,"",740319,"http://ballotpedia.org/Alex_Rizo","",112,"House",0.000805152979066023,1242
19919,"ipmgr1sc",9,"R","Alex Andrade","Robert","Alexander","Andrade","","Alex",45388020,184315,"",652228,"http://ballotpedia.org/Alex_Andrade","",2,"House",0.00345721694036301,1157
23320,"o8r9wc7r",9,"R","Alexis Calatayud","Alexis","Maria","Calatayud","","",53501685,209251,"",0,"http://ballotpedia.org/Alexis_Calatayud","",38,"Senate",0.00418702023726448,1433
23330,"6cn9749t",9,"R","Alina Garcia","Alina","","Garcia","","",50008330,53911,"",0,"http://ballotpedia.org/Alina_Garcia","",115,"House",0.00454545454545455,1100
21700,"ixm68x3r",9,"D","Allison Tant","Allison","E.","Tant","","",160200,193753,"",739944,"http://ballotpedia.org/Allison_Tant","",9,"House",0.023538961038961,1232
20905,"ae5mf9fp",9,"R","Ana Rodriguez","Ana","Maria","Rodriguez","","",45388189,184489,"",652597,"http://ballotpedia.org/Ana_Maria_Rodriguez","",40,"Senate",0.0033167495854063,1809
22550,"ohit2l5d",9,"D","Angela Nixon","Angela","","Nixon","","",12016117,193764,"",285510,"http://ballotpedia.org/Angela_Nixon","",13,"House",0.00196463654223969,1018
19701,"7b7vdjb1",9,"D","Anna Eskamani","Anna","V.","Eskamani","","",45388083,184399,"",652465,"http://ballotpedia.org/Anna_Eskamani","",42,"House",0.00535987748851455,1306
23329,"lmfbmlu1",9,"D","Ashley Gantt","Ashley","Viola","Gantt","","",55866502,209435,"",0,"http://ballotpedia.org/Ashley_Gantt","",109,"House",0.00533130236100533,1313
12360,"78xpo0kc",9,"R","Ben Albritton","Ben","","Albritton","","",12998756,117015,"",291098,"http://ballotpedia.org/Ben_Albritton","",27,"Senate",0,1399
23354,"lv9l8jdq",9,"R","Berny Jacques","Berny","","Jacques","","",55866535,184440,"",0,"http://ballotpedia.org/Berny_Jacques","",59,"House",0,1457
17099,"i7iok1n3",9,"R","Blaise Ingoglia","Blaise","","Ingoglia","","",68334,149443,"",484625,"http://ballotpedia.org/Blaise_Ingoglia","",11,"Senate",0.00343938091143594,1163
18944,"b3wi7sej",9,"R","Bob Rommel","Bob","","Rommel","","",41676883,172794,"",571836,"http://ballotpedia.org/Bob_Rommel","",81,"House",0.00177619893428064,1126
18934,"0ati17l0",9,"R","Bobby Payne","Bobby","","Payne","","",41676705,172843,"",571664,"http://ballotpedia.org/Bobby_Payne_(Florida)","",20,"House",0,1217
15147,"50hj6c4b",9,"D","Bobby Powell","Bobby","","Powell","Jr.","",11029424,139317,"",285418,"http://ballotpedia.org/Bobby_Powell","",24,"Senate",0.00841042893187553,1189
23333,"l11m0j5k",9,"R","Brad Yeager","Bradford","Troy","Yeager","","",55866678,0,"",0,"http://ballotpedia.org/","",56,"House",0,1207
15947,"lxcwwsqv",9,"D","Bruce Antone","Bruce","","Antone","","",1532328,53877,"",200765,"http://ballotpedia.org/Bruce_Antone","",41,"House",0.0167696381288614,1133
17173,"7369ytue",9,"R","Bryan Avila","Bryan","","Avila","","",15696405,138077,"",388830,"http://ballotpedia.org/Bryan_Avila","",39,"Senate",0.00173761946133797,1151
23345,"azizztcb",9,"R","Carolina Amesty","Carolina","","Amesty","","",55866433,209512,"",0,"http://ballotpedia.org/Carolina_Amesty","",45,"House",0.0008,1250
23332,"j9zna7tb",9,"R","Chase Tramont","Chase","","Tramont","","",55866659,209394,"",0,"http://ballotpedia.org/Chase_Tramont","",30,"House",0,1003
20907,"v24fzait",9,"R","Chip LaMarca","Chip","","LaMarca","","",45388173,130498,"",652577,"http://ballotpedia.org/Chip_LaMarca","",100,"House",0.00695047784535187,1151
21888,"78gk9ao5",9,"D","Christine Hunschofsky","Christine","Maria","Hunschofsky","","",49845708,194488,"",740359,"http://ballotpedia.org/Christine_Hunschofsky","",95,"House",0.0173553719008264,1210
