"roll_call_id","bill_id","session","roll_call_date","roll_call_desc","yea","nay","nv","absent","total","passed","chamber","chamber_id","bill_title","bill_number","session_year","bill_desc","bill_url","pct_of_total","n_present","pct_of_present"
"1303208",1726591,"2023-2023_Regular_Session","2023-04-18","House: Third Reading RCS#124",27,81,11,0,119,0,"H",27,"Treatments for Sex Reassignment","S0254",2023,"Granting courts of this state temporary emergency jurisdiction over a child present in this state if the child has been subjected to or is threatened with being subjected to sex-reassignment prescriptions or procedures; providing that, for purposes of warrants to take physical custody of a child in certain child custody enforcement proceedings, serious physical harm to the child includes, but is not limited to, being subjected to sex-reassignment prescriptions or procedures; prohibiting certain public entities from expending state funds for the provision of sex-reassignment prescriptions or procedures; prohibiting sex-reassignment prescriptions and procedures for patients younger than 18 years of age; requiring the department to immediately suspend the license of a health care practitioner who is arrested for committing or attempting, soliciting, or conspiring to commit specified violations related to sex-reassignment prescriptions or procedures for a patient younger than 18 years of age, etc.","https://legiscan.com/FL/bill/S0254/2023",0.226890756302521,108,0.25
"1303211",1726591,"2023-2023_Regular_Session","2023-04-18","House: Third Reading RCS#127",28,82,9,0,119,0,"H",27,"Treatments for Sex Reassignment","S0254",2023,"Granting courts of this state temporary emergency jurisdiction over a child present in this state if the child has been subjected to or is threatened with being subjected to sex-reassignment prescriptions or procedures; providing that, for purposes of warrants to take physical custody of a child in certain child custody enforcement proceedings, serious physical harm to the child includes, but is not limited to, being subjected to sex-reassignment prescriptions or procedures; prohibiting certain public entities from expending state funds for the provision of sex-reassignment prescriptions or procedures; prohibiting sex-reassignment prescriptions and procedures for patients younger than 18 years of age; requiring the department to immediately suspend the license of a health care practitioner who is arrested for committing or attempting, soliciting, or conspiring to commit specified violations related to sex-reassignment prescriptions or procedures for a patient younger than 18 years of age, etc.","https://legiscan.com/FL/bill/S0254/2023",0.235294117647059,110,0.254545454545455
"1303212",1726591,"2023-2023_Regular_Session","2023-04-18","House: Third Reading RCS#128",28,82,9,0,119,0,"H",27,"Treatments for Sex Reassignment","S0254",2023,"Granting courts of this state temporary emergency jurisdiction over a child present in this state if the child has been subjected to or is threatened with being subjected to sex-reassignment prescriptions or procedures; providing that, for purposes of warrants to take physical custody of a child in certain child custody enforcement proceedings, serious physical harm to the child includes, but is not limited to, being subjected to sex-reassignment prescriptions or procedures; prohibiting certain public entities from expending state funds for the provision of sex-reassignment prescriptions or procedures; prohibiting sex-reassignment prescriptions and procedures for patients younger than 18 years of age; requiring the department to immediately suspend the license of a health care practitioner who is arrested for committing or attempting, soliciting, or conspiring to commit specified violations related to sex-reassignment prescriptions or procedures for a patient younger than 18 years of age, etc.","https://legiscan.com/FL/bill/S0254/2023",0.235294117647059,110,0.254545454545455
"1303209",1726591,"2023-2023_Regular_Session","2023-04-18","House: Third Reading RCS#125",31,82,6,0,119,0,"H",27,"Treatments for Sex Reassignment","S0254",2023,"Granting courts of this state temporary emergency jurisdiction over a child present in this state if the child has been subjected to or is threatened with being subjected to sex-reassignment prescriptions or procedures; providing that, for purposes of warrants to take physical custody of a child in certain child custody enforcement proceedings, serious physical harm to the child includes, but is not limited to, being subjected to sex-reassignment prescriptions or procedures; prohibiting certain public entities from expending state funds for the provision of sex-reassignment prescriptions or procedures; prohibiting sex-reassignment prescriptions and procedures for patients younger than 18 years of age; requiring the department to immediately suspend the license of a health care practitioner who is arrested for committing or attempting, soliciting, or conspiring to commit specified violations related to sex-reassignment prescriptions or procedures for a patient younger than 18 years of age, etc.","https://legiscan.com/FL/bill/S0254/2023",0.260504201680672,113,0.274336283185841
"1363698",1785853,"2024-2024_Regular_Session","2024-01-09","House: Third Reading RCS#531",31,81,7,0,119,0,"H",27,"Congressional Term Limits","H0693",2024,"Applies to Congress of United States to call convention for sole purpose of proposing amendments to Constitution of United States to set limit on number of terms to which person may be elected as member of United States House of Representatives & to set limit on number of terms to which person may be elected as member of the United States Senate.","https://legiscan.com/FL/bill/H0693/2024",0.260504201680672,112,0.276785714285714
"1303210",1726591,"2023-2023_Regular_Session","2023-04-18","House: Third Reading RCS#126",32,82,5,0,119,0,"H",27,"Treatments for Sex Reassignment","S0254",2023,"Granting courts of this state temporary emergency jurisdiction over a child present in this state if the child has been subjected to or is threatened with being subjected to sex-reassignment prescriptions or procedures; providing that, for purposes of warrants to take physical custody of a child in certain child custody enforcement proceedings, serious physical harm to the child includes, but is not limited to, being subjected to sex-reassignment prescriptions or procedures; prohibiting certain public entities from expending state funds for the provision of sex-reassignment prescriptions or procedures; prohibiting sex-reassignment prescriptions and procedures for patients younger than 18 years of age; requiring the department to immediately suspend the license of a health care practitioner who is arrested for committing or attempting, soliciting, or conspiring to commit specified violations related to sex-reassignment prescriptions or procedures for a patient younger than 18 years of age, etc.","https://legiscan.com/FL/bill/S0254/2023",0.26890756302521,114,0.280701754385965
"1303411",1725135,"2023-2023_Regular_Session","2023-04-18","House: Third Reading RCS#123",32,82,5,0,119,0,"H",27,"Protection of Children","S1438",2023,"Prohibiting a governmental entity from issuing a permit or otherwise authorizing a person to conduct a performance in violation of specified provisions; providing criminal penalties; authorizing the Division of Hotels and Restaurants of the Department of Business and Professional Regulation to fine, suspend, or revoke the license of any public lodging establishment or public food service establishment if the establishment admits a child to an adult live performance; specifying that the Division of Alcoholic Beverages and Tobacco of the Department of Business and Professional Regulation is given full power and authority to revoke or suspend the license of any person issued under the Beverage Law when it is determined or found by the division upon sufficient cause appearing that he or she is maintaining a licensed premises that admits a child to an adult live performance; prohibiting a person from knowingly admitting a child to an adult live performance, etc.","https://legiscan.com/FL/bill/S1438/2023",0.26890756302521,114,0.280701754385965
"1289000",1718444,"2023-2023_Regular_Session","2023-03-30","House: Third Reading RCS#54",33,83,3,0,119,0,"H",27,"Education","H1069",2023,"Defines ""sex"" for Florida Early Learning-20 Education Code; provides requirements relating to titles & pronouns; revises provisions relating to instruction & materials for specified instruction relating to reproductive health; provides additional requirements for instruction regarding human sexuality; provides district school boards are responsible for materials used in classroom libraries; revises provisions relating to objections of certain materials & process related to such objections; revises school principal, school district & district school board duties & responsibilities relating to certain materials & processes.","https://legiscan.com/FL/bill/H1069/2023",0.277310924369748,116,0.28448275862069
"1367917",1799207,"2024-2024_Regular_Session","2024-01-23","House: Third Reading RCS#549",33,83,4,0,120,0,"H",27,"Online Protections for Minors","H0001",2024,"Requiring certain social media platforms to prohibit certain minors from creating new accounts and to verify the age of account holders; specifying the age verification methods the social media platform is required and authorized to offer; requiring certain social media platforms to terminate certain accounts and provide additional options for termination of such accounts; authorizing the Department of Legal Affairs to bring actions for knowing or reckless violations under the Florida Deceptive and Unfair Trade Practices Act; providing penalties, etc.","https://legiscan.com/FL/bill/H0001/2024",0.275,116,0.28448275862069
"1367918",1799207,"2024-2024_Regular_Session","2024-01-23","House: Third Reading RCS#550",33,83,4,0,120,0,"H",27,"Online Protections for Minors","H0001",2024,"Requiring certain social media platforms to prohibit certain minors from creating new accounts and to verify the age of account holders; specifying the age verification methods the social media platform is required and authorized to offer; requiring certain social media platforms to terminate certain accounts and provide additional options for termination of such accounts; authorizing the Department of Legal Affairs to bring actions for knowing or reckless violations under the Florida Deceptive and Unfair Trade Practices Act; providing penalties, etc.","https://legiscan.com/FL/bill/H0001/2024",0.275,116,0.28448275862069
"1314338",1751156,"2023-2023_Regular_Session","2023-04-28","House: Third Reading RCS#319",31,77,11,0,119,0,"H",27,"Elections","S7050",2023,"Requiring the Secretary of State to provide mandatory formal signature matching training to specified persons; requiring that third-party voter registration organizations provide to the Division of Elections the general election cycle for which they are registering persons to vote, beginning on a certain date; deleting the scheduled repeal of a public records exemption for certain voter registration information from another state or the District of Columbia; requiring a supervisor to adhere to specified procedures before the removal of a registered voter from the statewide voter registration system; defining the term ""qualify"" for purposes of restrictions on individuals qualifying for public office, etc.","https://legiscan.com/FL/bill/S7050/2023",0.260504201680672,108,0.287037037037037
"1402685",1796541,"2024-2024_Regular_Session","2024-03-05","House: Third Reading RCS#867",32,79,9,0,120,0,"H",27,"History of Communism","S1264",2024,"Requiring instruction in public schools on the history of communism; creating the Institute for Freedom in the Americas at Miami Dade College; renaming the Adam Smith Center for the Study of Economic Freedom as the Adam Smith Center for Economic Freedom; requiring the Department of State, in collaboration with the Department of Education, to consult with stakeholders to provide a recommendation to the Legislature by a specified date for the creation of a museum of the history of communism, etc.","https://legiscan.com/FL/bill/S1264/2024",0.266666666666667,111,0.288288288288288
"1316449",1718444,"2023-2023_Regular_Session","2023-05-02","Senate: Third Reading RCS#15",11,27,2,0,40,0,"S",28,"Education","H1069",2023,"Defines ""sex"" for Florida Early Learning-20 Education Code; provides requirements relating to titles & pronouns; revises provisions relating to instruction & materials for specified instruction relating to reproductive health; provides additional requirements for instruction regarding human sexuality; provides district school boards are responsible for materials used in classroom libraries; revises provisions relating to objections of certain materials & process related to such objections; revises school principal, school district & district school board duties & responsibilities relating to certain materials & processes.","https://legiscan.com/FL/bill/H1069/2023",0.275,38,0.289473684210526
"1288998",1718444,"2023-2023_Regular_Session","2023-03-30","House: Third Reading RCS#52",34,83,2,0,119,0,"H",27,"Education","H1069",2023,"Defines ""sex"" for Florida Early Learning-20 Education Code; provides requirements relating to titles & pronouns; revises provisions relating to instruction & materials for specified instruction relating to reproductive health; provides additional requirements for instruction regarding human sexuality; provides district school boards are responsible for materials used in classroom libraries; revises provisions relating to objections of certain materials & process related to such objections; revises school principal, school district & district school board duties & responsibilities relating to certain materials & processes.","https://legiscan.com/FL/bill/H1069/2023",0.285714285714286,117,0.290598290598291
