"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",1,93182,5978,28447,4157,2070,64,134457,0.693024535725176,0.0444603107313119,0.21156949805514,0.030916947425571,0.0158712450820708,"CVAP",2022,0.35578703985838,0.627247702196038,"R",27.1,27.1,22167,26,94
"House",2,102889,6984,25864,4420,2075,230,143001,0.719498465045699,0.0488388193089559,0.180865868070853,0.0309088747631135,0.016118768400221,"CVAP",2022,0.393921622563684,0.586063438960723,"R",19.2,19.2,19919,42,78
"House",3,111949,7030,9983,3604,2443,49,135365,0.827015846045876,0.0519336608429062,0.0737487533705168,0.0266243120452111,0.0184094854652237,"CVAP",2022,0.21046554212202,0.770031052640733,"R",56,56,23295,2,119
"House",4,103140,10456,15016,5661,1493,183,137087,0.752368933596913,0.0762727319147695,0.10953627988066,0.0412949440866019,0.012225812805007,"CVAP",2022,0.281036246245633,0.695790841298368,"R",41.5,41.5,22559,9,112
"House",5,114435,5382,18526,1331,2529,130,143060,0.799909129036768,0.0376205787781351,0.129498112679994,0.00930378862015937,0.0185866070180344,"CVAP",2022,0.211426026711873,0.777590982518515,"R",56.6,56.6,23343,1,120
"House",6,110890,6497,14445,3668,1994,155,137830,0.804541826888196,0.0471377784226946,0.104803018210839,0.0266124936515998,0.0155916708989335,"CVAP",2022,0.251567956576438,0.732371312601732,"R",48.1,48.1,23352,4,117
"House",7,110360,6902,22732,686,1842,70,142833,0.772650577947673,0.0483221664461294,0.159150896501509,0.0048028116751731,0.013386262278325,"CVAP",2022,0.235171943432313,0.753752787660112,"R",51.9,51.9,21391,3,118
"House",8,56291,8665,71405,2265,1443,62,140405,0.400918770699049,0.061714326412877,0.508564509810904,0.0161319041344681,0.0107189914889071,"CVAP",2022,0.724139245833942,0.260532372402104,"D",46.4,-46.4,23361,112,9
"House",9,103723,8039,26577,4010,934,70,143562,0.722496203730792,0.0559967122218972,0.185125590337276,0.0279321826109973,0.00699349410011006,"CVAP",2022,0.523551978854558,0.462137281994059,"D",6.1,-6.1,21700,82,39
"House",10,103229,6992,23530,1406,2485,20,137744,0.749426472296434,0.0507608316877686,0.170824137530491,0.0102073411546056,0.0181859100940876,"CVAP",2022,0.267784421202939,0.720357310520352,"R",45.3,45.3,19912,6,115
"House",11,95857,13241,18138,5071,910,45,133719,0.716853999805562,0.0990210815216985,0.135642653624391,0.0379228082770586,0.00714184222137467,"CVAP",2022,0.299006108770385,0.685613930449786,"R",38.7,38.7,21892,11,110
"House",12,85642,13534,28734,5882,928,90,135171,0.633582647165442,0.100125026817883,0.212575182546552,0.0435152510523707,0.00753120121919643,"CVAP",2022,0.431886972582356,0.551398820759808,"R",12,12,20836,55,66
"House",13,58635,7173,66298,3299,835,120,136400,0.429875366568915,0.0525879765395894,0.486055718475073,0.0241862170087977,0.00700146627565982,"CVAP",2022,0.617712099531427,0.366984013946359,"D",25.1,-25.1,22550,101,20
"House",14,51589,9630,62374,2923,887,39,127778,0.403739297844699,0.075365086321589,0.488143498880871,0.0228756123902393,0.0072469439183584,"CVAP",2022,0.633385367336226,0.350946717485858,"D",28.2,-28.2,19040,105,16
"House",15,99896,7833,25625,2929,1334,63,138048,0.723632359758924,0.0567411335187761,0.185623840982847,0.0212172577654149,0.0101196685210941,"CVAP",2022,0.332003412803209,0.654519098750214,"R",32.3,32.3,23346,15,106
"House",16,94824,11910,14449,8999,915,65,131856,0.71914816163087,0.0903258099745177,0.109581664846499,0.068248695546657,0.00743235044290741,"CVAP",2022,0.38982487319429,0.594104152147859,"R",20.4,20.4,23355,40,81
"House",17,86150,13595,21998,9373,1065,194,133222,0.64666496524598,0.102047709837714,0.165122877602798,0.0703562474666346,0.00945039107654892,"CVAP",2022,0.426913154789702,0.556361309361734,"R",12.9,12.9,23360,54,67
"House",18,108349,9552,6473,5450,794,4,130756,0.828635014836795,0.0730520970357001,0.0495044204472452,0.0416806876931078,0.00610297041818349,"CVAP",2022,0.312874009077815,0.674103062767649,"R",36.1,36.1,17687,12,109
"House",19,117893,12049,13077,3005,1017,80,147250,0.800631578947368,0.0818268251273345,0.0888081494057725,0.0204074702886248,0.00744991511035654,"CVAP",2022,0.388877315538304,0.599128736146865,"R",21,21,17686,37,84
"House",20,113182,8320,13684,887,1550,95,137788,0.821421313902517,0.0603826167735942,0.0993119865300316,0.00643742561035794,0.011938630359683,"CVAP",2022,0.263285532390859,0.724356322853547,"R",46.1,46.1,18934,5,116
"House",21,72443,14363,39960,3255,1598,115,132177,0.548075686390219,0.108664896313277,0.302321886561202,0.0246260695885063,0.0129598946866701,"CVAP",2022,0.623974730685981,0.359262661266744,"D",26.5,-26.5,21887,102,19
"House",22,114104,12881,13278,7150,1109,28,148694,0.767374608255881,0.086627570715698,0.0892974834223304,0.0480853296030775,0.00764657619002784,"CVAP",2022,0.468795305105562,0.515691044625597,"R",4.7,4.7,19037,69,52
"House",23,130818,8983,4072,2013,1480,65,148170,0.882891273537153,0.0606263076196261,0.0274819464129041,0.0135857461024499,0.010427211986232,"CVAP",2022,0.280109021226988,0.706527558068437,"R",42.6,42.6,18056,7,114
"House",24,101937,19012,15148,2863,725,0,140099,0.727606906544658,0.135704037858943,0.108123541210144,0.0204355491473886,0.00517491202649555,"CVAP",2022,0.357348880968763,0.630692503727752,"R",27.3,27.3,24962,25,96
"House",25,86845,25028,14707,4216,873,30,132014,0.657846895026285,0.189585953004984,0.111404851000651,0.0319360067871589,0.00684018361688912,"CVAP",2022,0.410369078383572,0.578521854995657,"R",16.8,16.8,23358,47,74
"House",26,110624,13007,14750,1969,1242,385,141951,0.779311170756106,0.091630210424724,0.103909095392072,0.0138709836492874,0.011461701573078,"CVAP",2022,0.353051986847152,0.635941247825168,"R",28.3,28.3,22415,23,98
"House",27,116981,19269,7982,2659,911,10,147753,0.791733501181025,0.130413595663032,0.0540225917578662,0.0179962504991438,0.00623337597206148,"CVAP",2022,0.316980297339759,0.670989261721518,"R",35.4,35.4,19069,13,108
"House",28,107063,9945,25831,3027,1062,30,147090,0.727874090692773,0.0676116663267387,0.175613569923176,0.0205792372017132,0.00742402610646543,"CVAP",2022,0.433969136813671,0.5520449979608,"R",11.8,11.8,19047,56,65
"House",29,84438,33280,13807,1691,685,64,134079,0.62976305014208,0.248211875088567,0.102976603345789,0.0126119675713572,0.00558625884739594,"CVAP",2022,0.43505146290806,0.550468479178791,"R",11.5,11.5,22660,57,63
"House",30,130034,7364,8264,2061,1325,39,149413,0.870299103826307,0.0492862066888423,0.0553097789348986,0.0137939804434688,0.00912905838180078,"CVAP",2022,0.353325555150014,0.633299954269188,"R",28,28,23332,24,97
"House",31,118747,10703,12199,3142,1118,138,146244,0.811978611088318,0.0731859084817155,0.0834153879817292,0.0214846421049752,0.00858838653209704,"CVAP",2022,0.365188128346011,0.618619188348612,"R",25.3,25.3,19698,32,89
"House",32,115149,12589,9163,4086,859,141,142766,0.806557583738425,0.088179258366838,0.0641819480828769,0.028620259725705,0.00700446885112702,"CVAP",2022,0.389569107872321,0.594381677531701,"R",20.5,20.5,1735,39,82
"House",33,94434,20757,19942,4554,1355,35,141627,0.666779639475524,0.146561037090385,0.140806484639228,0.032154885720943,0.0098145127694578,"CVAP",2022,0.44254307790264,0.540749405667227,"R",9.8,9.8,19017,61,59
"House",34,120933,13274,10541,2204,945,26,147960,0.817335766423358,0.089713436063801,0.0712422276290889,0.0148959178156258,0.00656258448229251,"CVAP",2022,0.360280302964648,0.628878650023439,"R",26.9,26.9,23347,29,92
"House",35,65574,37127,12372,6795,648,60,123158,0.532438006463242,0.301458289351889,0.100456324396304,0.0551730297666412,0.005748713035288,"CVAP",2022,0.491998084175532,0.492297243147131,"R",0,0,25070,78,43
"House",36,76841,23693,20927,5186,833,8,128063,0.600024987701366,0.18501050264323,0.163411758275224,0.0404956935258428,0.00656708026518198,"CVAP",2022,0.488600853776802,0.496369973980735,"R",0.8,0.8,24808,76,45
"House",37,80191,32981,14106,6874,730,65,135177,0.59322961746451,0.24398381381448,0.104352071728179,0.0508518460980788,0.00588117801105218,"CVAP",2022,0.521971940057576,0.459033576209745,"D",6.3,-6.3,24809,83,38
"House",38,82536,30792,14562,4450,758,119,133513,0.618186993026896,0.230629227116461,0.109068030828459,0.0333300877068151,0.00656864874581501,"CVAP",2022,0.50514090827172,0.47771065630649,"D",2.7,-2.7,20953,81,40
"House",39,73768,24653,22062,4389,749,30,126079,0.585093473139857,0.195536132107647,0.174985524948643,0.0348115070709634,0.00617866575718399,"CVAP",2022,0.473046627066525,0.513131434256722,"R",4,4,23338,72,49
"House",40,38619,21200,62888,4603,566,220,128314,0.300972614056144,0.165219695434637,0.490110198419502,0.0358729367021525,0.00612559814205776,"CVAP",2022,0.683516311658732,0.302862878855312,"D",38.1,-38.1,23323,107,14
"House",41,24426,25896,45181,4889,981,10,101695,0.240188799842667,0.254643787796843,0.444279463100447,0.0480751266040612,0.00974482521264566,"CVAP",2022,0.759913227393,0.225823103742422,"D",53.4,-53.4,15947,116,5
"House",42,97458,25943,12813,5880,995,10,143534,0.678988950353226,0.180744631933897,0.0892680479886299,0.0409659035489849,0.00700182535148467,"CVAP",2022,0.563758607936144,0.419839212043601,"D",14.4,-14.4,19701,92,29
"House",43,35608,68623,13194,5073,437,295,123596,0.288099938509337,0.55522023366452,0.106751027541344,0.0410450176381113,0.0059225217644584,"CVAP",2022,0.594850056214932,0.388442282657375,"D",20.6,-20.6,23318,100,21
