"people_id","person_hash","state_id","party","legislator_name","first_name","middle_name","last_name","suffix","nickname","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","district_number","chamber","termination_date","leg_party_loyalty","leg_n_votes_denominator","leg_n_votes_party_line","leg_n_votes_cross_party","leg_n_votes_independent","leg_n_votes_missing"
23359,"174k0tvr",9,"R","Adam Anderson","Adam","","Anderson","","",55866434,209492,"",0,"http://ballotpedia.org/Adam_Anderson","",57,"House",NA,0.998418972332016,1265,1263,2,1,0
22261,"b6kfhnbd",9,"R","Adam Botana","Adam","","Botana","","",49845673,194550,"",740462,"http://ballotpedia.org/Adam_Botana","",80,"House",NA,0.998341625207297,1206,1204,2,0,0
21782,"87jh4enj",9,"R","Alejandro Rizo","Alejandro","","Rizo","Jr.","Alex",49845738,194462,"",740319,"http://ballotpedia.org/Alex_Rizo","",112,"House",NA,0.999194847020934,1242,1241,1,1,0
19919,"ipmgr1sc",9,"R","Alex Andrade","Robert","Alexander","Andrade","","Alex",45388020,184315,"",652228,"http://ballotpedia.org/Alex_Andrade","",2,"House",NA,0.996542783059637,1157,1153,4,4,0
23320,"o8r9wc7r",9,"R","Alexis Calatayud","Alexis","Maria","Calatayud","","",53501685,209251,"",0,"http://ballotpedia.org/Alexis_Calatayud","",38,"Senate",NA,0.995812979762736,1433,1427,6,0,2
23330,"6cn9749t",9,"R","Alina Garcia","Alina","","Garcia","","",50008330,53911,"",0,"http://ballotpedia.org/Alina_Garcia","",115,"House",NA,0.995454545454545,1100,1095,5,4,0
21700,"ixm68x3r",9,"D","Allison Tant","Allison","E.","Tant","","",160200,193753,"",739944,"http://ballotpedia.org/Allison_Tant","",9,"House",NA,0,29,0,29,5,0
20905,"ae5mf9fp",9,"R","Ana Rodriguez","Ana","Maria","Rodriguez","","",45388189,184489,"",652597,"http://ballotpedia.org/Ana_Maria_Rodriguez","",40,"Senate",NA,0.996683250414594,1809,1803,6,1,5
22550,"ohit2l5d",9,"D","Angela Nixon","Angela","","Nixon","","",12016117,193764,"",285510,"http://ballotpedia.org/Angela_Nixon","",13,"House",NA,0,2,0,2,61,0
19701,"7b7vdjb1",9,"D","Anna Eskamani","Anna","V.","Eskamani","","",45388083,184399,"",652465,"http://ballotpedia.org/Anna_Eskamani","",42,"House",NA,0,7,0,7,49,0
23329,"lmfbmlu1",9,"D","Ashley Gantt","Ashley","Viola","Gantt","","",55866502,209435,"",0,"http://ballotpedia.org/Ashley_Gantt","",109,"House",NA,0,7,0,7,70,0
12360,"78xpo0kc",9,"R","Ben Albritton","Ben","","Albritton","","",12998756,117015,"",291098,"http://ballotpedia.org/Ben_Albritton","",27,"Senate",NA,1,1399,1399,0,0,0
23354,"lv9l8jdq",9,"R","Berny Jacques","Berny","","Jacques","","",55866535,184440,"",0,"http://ballotpedia.org/Berny_Jacques","",59,"House",NA,1,1457,1457,0,21,0
17099,"i7iok1n3",9,"R","Blaise Ingoglia","Blaise","","Ingoglia","","",68334,149443,"",484625,"http://ballotpedia.org/Blaise_Ingoglia","",11,"Senate",NA,0.996560619088564,1163,1159,4,7,3
18944,"b3wi7sej",9,"R","Bob Rommel","Bob","","Rommel","","",41676883,172794,"",571836,"http://ballotpedia.org/Bob_Rommel","",81,"House",NA,0.998222222222222,1125,1123,2,0,0
18934,"0ati17l0",9,"R","Bobby Payne","Bobby","","Payne","","",41676705,172843,"",571664,"http://ballotpedia.org/Bobby_Payne_(Florida)","",20,"House",NA,1,1217,1217,0,0,0
15147,"50hj6c4b",9,"D","Bobby Powell","Bobby","","Powell","Jr.","",11029424,139317,"",285418,"http://ballotpedia.org/Bobby_Powell","",24,"Senate",NA,0,10,0,10,28,3
23333,"l11m0j5k",9,"R","Brad Yeager","Bradford","Troy","Yeager","","",55866678,0,"",0,"http://ballotpedia.org/","",56,"House",NA,1,1207,1207,0,2,0
15947,"lxcwwsqv",9,"D","Bruce Antone","Bruce","","Antone","","",1532328,53877,"",200765,"http://ballotpedia.org/Bruce_Antone","",41,"House",NA,0,19,0,19,9,0
17173,"7369ytue",9,"R","Bryan Avila","Bryan","","Avila","","",15696405,138077,"",388830,"http://ballotpedia.org/Bryan_Avila","",39,"Senate",NA,0.998262380538662,1151,1149,2,0,2
23345,"azizztcb",9,"R","Carolina Amesty","Carolina","","Amesty","","",55866433,209512,"",0,"http://ballotpedia.org/Carolina_Amesty","",45,"House",NA,0.9992,1250,1249,1,2,0
23332,"j9zna7tb",9,"R","Chase Tramont","Chase","","Tramont","","",55866659,209394,"",0,"http://ballotpedia.org/Chase_Tramont","",30,"House",NA,1,1003,1003,0,0,0
20907,"v24fzait",9,"R","Chip LaMarca","Chip","","LaMarca","","",45388173,130498,"",652577,"http://ballotpedia.org/Chip_LaMarca","",100,"House",NA,0.99304347826087,1150,1142,8,2,0
