"people_id","person_hash","state_id","party","legislator_name","first_name","middle_name","last_name","suffix","nickname","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","district_number","chamber","termination_date","leg_party_loyalty","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","leg_n_votes_missing","setting_party_loyalty","rank_partisan_leg_R","rank_partisan_leg_D"
23359,"174k0tvr",9,"R","Adam Anderson","Adam","","Anderson","","",55866434,209492,"",0,"http://ballotpedia.org/Adam_Anderson","",57,"House",NA,0.990950226244344,221,219,1062,2,83,1,0,0,"partisan_cross",39,NA
22261,"b6kfhnbd",9,"R","Adam Botana","Adam","","Botana","","",49845673,194550,"",740462,"http://ballotpedia.org/Adam_Botana","",80,"House",NA,0.990990990990991,222,220,1003,2,38,0,0,0,"partisan_cross",38,NA
21782,"87jh4enj",9,"R","Alejandro Rizo","Alejandro","","Rizo","Jr.","Alex",49845738,194462,"",740319,"http://ballotpedia.org/Alex_Rizo","",112,"House",NA,0.995575221238938,226,225,1038,1,33,1,0,0,"partisan_cross",27,NA
19919,"ipmgr1sc",9,"R","Alex Andrade","Robert","Alexander","Andrade","","Alex",45388020,184315,"",652228,"http://ballotpedia.org/Alex_Andrade","",2,"House",NA,0.98019801980198,202,198,977,4,46,4,0,0,"partisan_cross",63,NA
23320,"o8r9wc7r",9,"R","Alexis Calatayud","Alexis","Maria","Calatayud","","",53501685,209251,"",0,"http://ballotpedia.org/Alexis_Calatayud","",38,"Senate",NA,0.967032967032967,182,176,1273,6,45,0,0,2,"partisan_cross",21,NA
23330,"6cn9749t",9,"R","Alina Garcia","Alina","","Garcia","","",50008330,53911,"",0,"http://ballotpedia.org/Alina_Garcia","",115,"House",NA,0.976303317535545,211,206,907,5,17,4,0,0,"partisan_cross",67,NA
21700,"ixm68x3r",9,"D","Allison Tant","Allison","E.","Tant","","",160200,193753,"",739944,"http://ballotpedia.org/Allison_Tant","",9,"House",NA,0.855721393034826,201,172,1041,29,85,5,7,0,"partisan_cross",NA,28
20905,"ae5mf9fp",9,"R","Ana Rodriguez","Ana","Maria","Rodriguez","","",45388189,184489,"",652597,"http://ballotpedia.org/Ana_Maria_Rodriguez","",40,"Senate",NA,0.971563981042654,211,205,1616,6,24,1,0,5,"partisan_cross",20,NA
22550,"ohit2l5d",9,"D","Angela Nixon","Angela","","Nixon","","",12016117,193764,"",285510,"http://ballotpedia.org/Angela_Nixon","",13,"House",NA,0.989528795811518,191,189,833,2,173,64,9,0,"partisan_cross",NA,2
19701,"7b7vdjb1",9,"D","Anna Eskamani","Anna","V.","Eskamani","","",45388083,184399,"",652465,"http://ballotpedia.org/Anna_Eskamani","",42,"House",NA,0.972332015810277,253,246,1061,7,12,52,12,0,"partisan_cross",NA,10
23329,"lmfbmlu1",9,"D","Ashley Gantt","Ashley","Viola","Gantt","","",55866502,209435,"",0,"http://ballotpedia.org/Ashley_Gantt","",109,"House",NA,0.972972972972973,259,252,1060,7,65,70,14,0,"partisan_cross",NA,8
12360,"78xpo0kc",9,"R","Ben Albritton","Ben","","Albritton","","",12998756,117015,"",291098,"http://ballotpedia.org/Ben_Albritton","",27,"Senate",NA,1,173,173,1245,0,124,0,0,0,"partisan_cross",3,NA
23354,"lv9l8jdq",9,"R","Berny Jacques","Berny","","Jacques","","",55866535,184440,"",0,"http://ballotpedia.org/Berny_Jacques","",59,"House",NA,1,277,277,1201,0,20,21,0,0,"partisan_cross",1,NA
17099,"i7iok1n3",9,"R","Blaise Ingoglia","Blaise","","Ingoglia","","",68334,149443,"",484625,"http://ballotpedia.org/Blaise_Ingoglia","",11,"Senate",NA,0.972027972027972,143,139,1036,4,55,7,0,3,"partisan_cross",19,NA
18944,"b3wi7sej",9,"R","Bob Rommel","Bob","","Rommel","","",41676883,172794,"",571836,"http://ballotpedia.org/Bob_Rommel","",81,"House",NA,0.990243902439024,205,203,935,2,25,0,1,0,"partisan_cross",42,NA
18934,"0ati17l0",9,"R","Bobby Payne","Bobby","","Payne","","",41676705,172843,"",571664,"http://ballotpedia.org/Bobby_Payne_(Florida)","",20,"House",NA,1,233,233,1010,0,29,0,0,0,"partisan_cross",7,NA
15147,"50hj6c4b",9,"D","Bobby Powell","Bobby","","Powell","Jr.","",11029424,139317,"",285418,"http://ballotpedia.org/Bobby_Powell","",24,"Senate",NA,0.924242424242424,132,122,1062,10,21,28,7,3,"partisan_cross",NA,9
23333,"l11m0j5k",9,"R","Brad Yeager","Bradford","Troy","Yeager","","",55866678,0,"",0,"http://ballotpedia.org/","",56,"House",NA,1,212,212,1014,0,104,2,0,0,"partisan_cross",12,NA
15947,"lxcwwsqv",9,"D","Bruce Antone","Bruce","","Antone","","",1532328,53877,"",200765,"http://ballotpedia.org/Bruce_Antone","",41,"House",NA,0.897849462365591,186,167,956,19,85,9,5,0,"partisan_cross",NA,24
17173,"7369ytue",9,"R","Bryan Avila","Bryan","","Avila","","",15696405,138077,"",388830,"http://ballotpedia.org/Bryan_Avila","",39,"Senate",NA,0.984962406015038,133,131,1034,2,124,0,0,2,"partisan_cross",16,NA
23345,"azizztcb",9,"R","Carolina Amesty","Carolina","","Amesty","","",55866433,209512,"",0,"http://ballotpedia.org/Carolina_Amesty","",45,"House",NA,0.995327102803738,214,213,1043,1,163,2,0,0,"partisan_cross",29,NA
23332,"j9zna7tb",9,"R","Chase Tramont","Chase","","Tramont","","",55866659,209394,"",0,"http://ballotpedia.org/Chase_Tramont","",30,"House",NA,1,186,186,837,0,351,0,0,0,"partisan_cross",16,NA
20907,"v24fzait",9,"R","Chip LaMarca","Chip","","LaMarca","","",45388173,130498,"",652577,"http://ballotpedia.org/Chip_LaMarca","",100,"House",NA,0.961722488038278,209,201,960,8,50,2,1,0,"partisan_cross",76,NA
21888,"78gk9ao5",9,"D","Christine Hunschofsky","Christine","Maria","Hunschofsky","","",49845708,194488,"",740359,"http://ballotpedia.org/Christine_Hunschofsky","",95,"House",NA,0.9,210,189,1020,21,48,6,4,0,"partisan_cross",NA,22
