"legislator_name","party","chamber","district_number","leg_n_votes_partisan","leg_mean_partisanship","sd_partisan_vote","se_partisan_vote","lower_bound","upper_bound","leg_label"
"Adam Anderson","R","House",57,1266,0.00197472353870458,0.0397464068181732,0.00111707162552484,0.000857651913179744,0.00309179516422942,"Adam Anderson (R-57)"
"Adam Botana","R","House",80,1206,0.00165837479270315,0.0407062470397592,0.00117216138471876,0.000486213407984395,0.00283053617742191,"Adam Botana (R-80)"
"Alejandro Rizo","R","House",112,1243,0.00120675784392599,0.0283752176919583,0.00080482903900903,0.000401928804916956,0.00201158688293502,"Alejandro Rizo (R-112)"
"Alex Andrade","R","House",2,1161,0.00516795865633075,0.058721758523411,0.00172338751709905,0.0034445711392317,0.0068913461734298,"Alex Andrade (R-2)"
"Alexis Calatayud","R","Senate",38,1433,0.00418702023726448,0.0645941232094362,0.00170635705483976,0.00248066318242472,0.00589337729210424,"Alexis Calatayud (R-38)"
"Alina Garcia","R","House",115,1104,0.00634057971014493,0.0672971810692394,0.00202540713832197,0.00431517257182296,0.00836598684846689,"Alina Garcia (R-115)"
"Allison Tant","D","House",9,1237,0.0254648342764753,0.151669212646741,0.00431233590503658,0.0211524983714388,0.0297771701815119,"Allison Tant (D-9)"
"Ana Rodriguez","R","Senate",40,1810,0.00359116022099448,0.0575115393504252,0.00135181015504371,0.00223935006595077,0.00494297037603818,"Ana Rodriguez (R-40)"
"Angela Nixon","D","House",13,1079,0.0301204819277108,0.0443024237060414,0.00134870436788271,0.0287717775598281,0.0314691862955936,"Angela Nixon (D-13)"
"Anna Eskamani","D","House",42,1355,0.0232472324723247,0.0730426887075279,0.00198429895483482,0.0212629335174899,0.0252315314271595,"Anna Eskamani (D-42)"
"Ashley Gantt","D","House",109,1383,0.0303687635574837,0.0728486197884771,0.00195889085094947,0.0284098727065343,0.0323276544084332,"Ashley Gantt (D-109)"
"Ben Albritton","R","Senate",27,1399,0,0,0,0,0,"Ben Albritton (R-27)"
"Berny Jacques","R","House",59,1478,0.0071041948579161,0,0,0.0071041948579161,0.0071041948579161,"Berny Jacques (R-59)"
"Blaise Ingoglia","R","Senate",11,1170,0.00641025641025641,0.0585704812215899,0.00171232367500224,0.00469793273525417,0.00812258008525865,"Blaise Ingoglia (R-11)"
"Bob Rommel","R","House",81,1126,0.00177619893428064,0.0421262399317041,0.00125540398159371,0.000520794952686932,0.00303160291587435,"Bob Rommel (R-81)"
"Bobby Payne","R","House",20,1217,0,0,0,0,0,"Bobby Payne (R-20)"
"Bobby Powell","D","Senate",24,1217,0.0197206244864421,0.0913603500495675,0.00261886110612287,0.0171017633803192,0.0223394855925649,"Bobby Powell (D-24)"
"Brad Yeager","R","House",56,1209,0.000827129859387924,0,0,0.000827129859387924,0.000827129859387924,"Brad Yeager (R-56)"
"Bruce Antone","D","House",41,1142,0.0205779334500876,0.128463936984708,0.00380144030976828,0.0167764931403193,0.0243793737598558,"Bruce Antone (D-41)"
"Bryan Avila","R","Senate",39,1151,0.00173761946133797,0.0416666351880413,0.00122814817826626,0.000509471283071705,0.00296576763960423,"Bryan Avila (R-39)"
"Carolina Amesty","R","House",45,1252,0.00159744408945687,0.0282842712474619,0.000799360766977432,0.000798083322479437,0.0023968048564343,"Carolina Amesty (R-45)"
"Chase Tramont","R","House",30,1003,0,0,0,0,0,"Chase Tramont (R-30)"
"Chip LaMarca","R","House",100,1153,0.00780572419774501,0.0831154052441658,0.00244774895063339,0.00535797524711162,0.0102534731483784,"Chip LaMarca (R-100)"
