ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16_20_COMP_Total,E_16_20_COMP_Dem,E_16_20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16_22_COMP_Total,E_16_22_COMP_Dem,E_16_22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
1,1,160525,109139,6704,36927,5678,3267,448,169743,113039,8742,38244,8265,3022,1231,178511,111362,10830,42424,8123,5984,648,169710,111451,8906,40120,7552,3164,888,176726,111878,10720,42913,8347,3573,751,125121,89243,4744,25029,4208,2490,311,132106,94423,5162,26374,3647,1869,170,141588,92944,7631,29899,6162,4701,456,141588,92944,7631,27955,4612,1114,191,686,6455,131250,92692,5135,27302,3647,1959,195,134457,93182,5978,28447,4157,2070,64,80419,29409,50047,78195,28653,49542,82804,28034,51043,81525,25278,53021,68989,26102,42887,69305,26060,42291,68799,24120,43456,77074,27452,48023,92099,35131,55401,71750,24663,46101,62581,20014,41766,62660,19551,42570,62278,19267,43011,61635,19713,41922,61952,22912,39040
2,2,167913,115247,8719,36037,6422,2828,654,180100,120742,10661,39453,7838,3811,574,180797,120694,12214,34620,8368,5018,697,185717,124210,11549,39142,9061,3470,859,183565,123388,11463,37728,8455,3540,923,132187,94918,6245,24753,4739,2187,461,136725,96500,6983,26123,4362,2318,30,145701,101968,8757,24577,6173,3918,479,145701,101968,8757,22509,4404,728,163,668,6504,142178,100992,7439,26042,4801,2164,139,143001,102889,6984,25864,4420,2075,230,91884,37198,53669,86077,34062,52015,91648,34511,51856,90059,30408,55963,77605,32021,45584,77848,31899,44874,76875,28804,46507,85748,33432,50354,102586,43119,57362,80232,30581,48371,70502,25109,44477,70633,24752,45266,69930,24055,45875,69186,24225,44961,69337,29133,40204
3,3,142126,119833,5834,10249,3894,2881,468,163539,132992,9510,14011,4860,3523,740,178528,138991,11263,14774,6374,6706,923,166345,135820,9103,12935,5181,3455,679,178516,142243,10595,14069,6710,4000,726,107829,92258,3767,7241,2635,2129,282,124240,103249,5936,9818,2693,2234,215,137282,109163,7444,10553,4331,5020,554,137282,109163,7444,9124,2729,944,258,565,7055,126496,105700,5976,9318,3016,2291,108,135365,111949,7030,9983,3604,2443,49,69062,16417,51748,68748,14957,53791,80283,15041,61029,78992,13498,61685,67732,15557,52175,67918,14736,51986,67563,13215,52823,76430,15753,58767,97666,22791,72852,75083,15013,58968,68922,12682,55363,69035,12278,56265,68525,12231,56294,68111,12625,55486,68032,15735,52297
4,4,159249,120908,11607,17849,7955,2384,731,178657,128894,17498,21954,9695,2908,1190,183737,123704,20954,23417,11275,6105,1139,181936,128526,18936,23719,10142,2858,1336,183504,126849,19827,24042,10836,3256,1355,123925,97386,7733,11836,5751,1771,446,134148,103403,9359,13885,5034,1578,105,143223,100925,13909,16043,8209,4437,731,143223,100925,13909,13316,5452,525,300,710,8086,136326,103336,10177,14760,5330,1529,125,137087,103140,10456,15016,5661,1493,183,85535,23890,60708,83113,21514,61599,90217,22120,62113,88519,19230,65200,73726,21143,52583,73742,20755,51655,73081,18791,52733,83471,22288,58754,102446,31748,68242,79151,21056,56579,69966,17390,51538,70115,17160,52313,69430,16895,52535,69007,17010,51997,68886,21110,47776
5,5,164237,128598,6996,24519,1541,3188,246,174766,135931,8867,24989,2298,3228,600,181243,138013,10636,24090,2647,5776,428,177406,137916,9215,24791,2507,3253,562,182618,140849,10119,24903,2819,3845,401,130316,103071,5083,18985,1091,2488,166,136900,109530,4599,19045,927,2477,67,144921,112362,7326,18735,1833,4405,270,144921,112362,7326,17652,1206,878,68,368,5061,139265,111336,4892,18931,1169,2501,83,143060,114435,5382,18526,1331,2529,130,75135,20975,52832,73687,19581,54106,80952,17631,60788,79760,17179,59235,66688,16515,50173,66738,15563,50229,66334,14892,50417,74861,16982,56969,94201,21584,71665,75616,15229,59860,71825,12883,58250,71993,12422,59239,71535,12220,59315,71377,12244,59133,71387,14077,57310
6,6,168852,133790,8107,20113,4970,2883,422,182161,138656,11815,22996,6103,3060,792,175216,128348,13846,21199,6548,5420,615,180076,136521,11947,22568,5939,3076,654,181055,135743,12980,22482,6289,3430,478,131776,107601,5346,13536,3558,2158,270,138620,111940,6640,14551,3070,2030,169,139659,106035,9565,14832,4730,4213,387,139659,106035,9565,13199,3369,660,143,509,6179,136790,110545,6649,14185,3005,2070,178,137830,110890,6497,14445,3668,1994,155,81454,23653,56683,78879,22028,56851,88222,21797,62194,86859,19971,62906,63404,16723,46681,63331,16757,45709,62871,15458,46313,75740,19289,54945,93213,25614,66097,73913,17711,55302,67009,14547,51657,67093,14091,52590,66719,13991,52728,66832,12913,53919,66838,14990,51848
7,7,181445,137374,10367,30729,1205,2436,166,183652,136463,12950,31915,1351,1921,199,182734,134929,12767,28585,1721,4619,359,183644,136315,12677,31317,1159,2509,218,181694,134233,13049,30009,1457,2872,197,144006,109869,7372,24397,845,1919,118,142910,110250,6431,24142,644,1356,65,147456,110786,9058,22504,1224,3610,231,147456,110786,9058,21449,755,666,46,357,4339,143739,110947,6375,23884,581,1755,120,142833,110360,6902,22732,686,1842,70,79507,25106,52891,76963,24306,52657,81226,19995,58691,79731,22563,53950,69298,20816,48482,69464,17928,50341,68878,17176,50629,75880,20059,54854,91208,22731,67649,75416,17774,57120,71000,15822,54395,71234,14279,56554,70669,13781,56888,70176,14458,55718,70805,15554,54923
8,8,171478,66946,12554,88347,3903,1529,256,180603,67501,12870,95660,4352,1333,349,175555,59634,16562,93818,4637,2996,294,182125,66424,13374,97216,4493,1540,338,179218,64039,13692,96205,4756,2566,209,137331,59504,9286,65300,3272,1148,196,140540,59960,7096,70310,2017,873,29,140699,52901,12366,70466,3920,2374,222,140699,52901,12366,67234,2959,322,60,507,4350,142304,58982,7773,72056,2162,1024,72,140405,56291,8665,71405,2265,1443,62,81400,59909,20748,83339,62764,20575,81281,58075,19825,79758,54755,22396,72178,55296,16882,72478,54966,16874,71290,51457,18678,76879,56344,19235,85806,63513,21074,66951,48175,17908,54531,38629,15138,54627,37648,16399,54105,35932,18173,53730,36563,17167,54405,39409,14996
9,9,173703,122841,8312,35727,6288,1380,195,177602,122774,10956,35012,8496,1050,217,182853,123326,12318,34761,9417,3228,332,178603,123333,11221,34959,8395,899,255,181758,123763,12321,35172,8522,1575,347,138194,100266,6278,26681,4428,1066,135,139135,99929,7598,26648,3910,657,39,148872,103277,9412,26918,6832,2435,224,148872,103277,9412,25078,5564,290,64,507,4680,140562,101979,7522,26336,3868,605,46,143562,103723,8039,26577,4010,934,70,102113,53807,47269,96542,49410,47132,105657,54053,46470,104319,51487,49985,97975,54685,43291,97985,52307,44773,96501,47969,47006,102451,53705,46978,113903,61792,50579,97705,50455,46103,90240,46126,43244,90350,44501,45306,89321,41625,47696,88789,41664,47125,89961,46731,43230
10,10,173960,131518,7672,31240,2207,1886,192,179069,131447,10482,33474,2576,2021,55,180867,130148,11567,31887,3169,3917,306,180109,129935,10572,35097,2445,2320,53,179760,129363,11373,32855,2818,3660,94,135425,103792,5461,23530,1631,1371,139,137392,103739,6460,24646,1113,1393,10,143038,105073,8418,23959,2290,2981,211,143038,105073,8418,22621,1701,446,61,472,4246,139037,103620,6936,25674,1123,1578,10,137744,103229,6992,23530,1406,2485,20,75135,24649,49430,73886,23723,50163,80199,22199,55351,78681,21420,54480,69326,22397,46929,69580,20967,47836,68957,19404,48586,75753,21923,52798,90562,25637,63883,72979,19251,53109,66735,15893,50172,66921,15264,51281,66205,14941,51264,65589,15584,50005,66417,15637,50113
11,11,154513,115643,12964,18741,7113,1771,458,173519,121515,18473,25372,9032,2133,827,177922,115965,20526,28930,9362,4741,862,176678,122610,19245,26035,8775,2298,738,179123,121159,20828,26699,8933,1990,760,112715,87378,8240,11851,4808,1190,284,127661,94499,11289,15429,4713,986,60,134291,91517,13695,19393,6708,3444,536,134291,91517,13695,16871,5110,454,222,572,5850,130487,95788,11465,17031,4657,1041,80,133719,95857,13241,18138,5071,910,45,76427,21782,54033,77875,21801,56074,85876,23227,58933,84423,19174,61927,74650,23121,51530,74779,23607,50450,74134,20773,52153,82064,23672,56724,99185,32225,65410,78327,22251,55056,70425,19055,50517,70461,18306,51621,69951,17703,52248,69590,18351,51239,70057,18630,51344
12,12,167723,105950,15805,37430,8596,1768,414,173183,102231,22208,38045,10661,1742,524,181072,98375,25929,43889,10966,3809,546,175859,100730,22907,39777,11073,1720,256,184169,101353,26111,43481,11219,2151,542,128247,86065,10942,24630,6282,1268,285,124598,83125,10516,24362,5449,862,145,141370,82419,18215,30564,8019,2927,407,141370,82419,18215,27647,6606,309,141,772,5261,128235,82938,11912,26518,5885,840,35,135171,85642,13534,28734,5882,928,90,82866,33952,48263,82820,33462,49358,84163,34505,45661,82830,28244,51480,72410,32237,40173,72693,32846,39159,71897,29430,41249,79088,33208,44259,91366,42071,47760,71862,29925,40945,61499,24298,36481,61527,23682,37308,61018,22733,38285,60634,23408,37226,22678,9992,12664
13,13,169992,73124,8217,84283,4675,1630,311,176154,71816,10555,88230,5474,1726,163,183002,67572,13514,94886,5773,3449,445,176317,67557,11117,91022,5652,1651,369,184321,68030,12837,96155,5871,1665,354,127903,59969,5506,58786,3432,1238,217,130310,59106,5636,61266,2994,1206,1,140588,57024,9324,68197,4392,2679,314,140588,57024,9324,64853,3394,370,94,777,4752,131915,56870,6149,64184,3330,1154,169,136400,58635,7173,66298,3299,835,120,84554,53370,30473,76161,49254,26907,78103,47600,27694,76660,40944,32977,67131,43214,23917,67510,44192,22774,66805,41350,24469,73180,45195,26882,84845,54005,29579,64379,39330,24336,52629,31088,20835,52646,30368,21669,52222,29600,22622,51796,30447,21349,52274,31049,21139
14,14,159726,60387,9945,86247,3691,1558,383,169172,59117,14113,92567,4207,1262,365,176278,56704,19236,94457,5696,3153,476,172466,59906,14739,93562,4726,1492,446,175313,62016,17980,90245,5253,1997,401,120047,50490,6908,59960,2731,1179,249,121200,47845,7660,62489,2124,730,90,135795,48413,13793,68461,4311,2381,333,135795,48413,13793,64599,3168,349,107,803,4563,123670,49501,7912,62793,2361,855,39,127778,51589,9630,62374,2923,887,39,75022,48498,25931,70842,46755,24087,71803,45460,23814,70443,38840,29136,60827,40495,20332,61191,41532,19093,60604,39086,20559,66836,42681,23093,77784,50832,25753,58483,36618,21176,47192,28275,18265,47217,27614,19050,46793,26930,19863,46501,27748,18753,28626,20174,8421
15,15,139340,107500,6480,21212,3505,1530,243,162511,115041,10171,31709,4836,1617,367,182272,122550,13118,37445,5700,4304,469,165900,117554,10927,30653,5704,1507,276,183721,124874,12793,37076,6689,2143,573,105527,84222,4218,14087,2311,1117,155,124143,92344,6054,21980,2420,1013,29,141830,99272,8973,26505,4085,3254,295,141830,99272,8973,24367,3027,453,109,607,5022,125567,94373,6330,20863,2694,962,29,138048,99896,7833,25625,2929,1334,63,67207,21007,45596,74297,23573,50724,84343,25779,55465,82979,22395,57589,77383,27107,50275,77616,27286,49664,76909,25089,50849,84128,27506,55277,106956,37532,67932,85401,27392,57117,81693,25593,55298,81764,24755,56472,81038,23841,57197,80431,24571,55860,81240,24657,56489
16,16,161988,113125,13737,23737,11316,1722,580,173503,118750,17633,23610,13907,1685,957,180047,117151,20641,24496,15027,3766,823,174477,119835,18779,23480,12364,1900,679,175997,115785,19968,24003,14376,2096,559,126158,92037,9471,15960,8288,1240,370,130784,95256,11494,14635,7871,974,60,144681,97796,14930,17940,11514,2835,603,144681,97796,14930,15182,9376,309,232,751,6105,130026,95684,12011,13618,7270,918,53,131856,94824,11910,14449,8999,915,65,80380,30786,48881,80368,29610,50758,88470,32552,51227,86629,26393,56817,76405,31309,45096,76670,31848,44105,75534,28325,45946,83720,31975,49950,99515,41390,56555,79005,29655,48243,70372,25046,44525,70482,24324,45701,69667,23388,46279,69248,23788,45460,0,0,0
17,17,138808,93150,13594,18719,13375,1217,409,164764,100428,20052,25525,18455,1316,723,183248,105504,24700,28801,21585,3134,563,169394,99808,22158,26064,19403,1131,1336,183725,104920,24690,29761,21460,1722,1298,110262,76992,9905,13437,9678,922,289,118160,80730,10302,17672,8026,716,20,149525,90657,18386,21778,16212,2399,422,149525,90657,18386,18697,14189,286,128,1073,6109,121988,81508,11126,18797,8839,765,140,133222,86150,13595,21998,9373,1065,194,64909,25623,38796,63643,24247,39396,76683,30677,42077,75240,24326,47974,67614,29713,37902,67831,30380,36810,66956,27336,38577,74444,30788,42018,92610,42290,48749,71055,29144,40843,63358,24683,37941,63447,24067,38920,62836,23410,39426,62485,23716,38769,0,0,0
18,18,110153,95715,6027,3976,4007,687,182,151894,125401,11053,7134,8292,1618,518,180300,139508,16124,9311,11698,3212,388,160779,132461,11560,7423,8806,1711,681,182702,144477,14965,10790,10429,1627,171,80683,71449,3835,2525,2501,465,109,109738,93724,7338,3746,3875,645,89,132656,106331,10239,5991,7254,2212,227,132656,106331,10239,4686,6014,252,69,526,4539,115198,98526,7413,3962,4143,707,85,130756,108349,9552,6473,5450,794,4,62412,17555,44397,69164,17441,51723,86293,24338,58138,85210,19062,63617,83586,26105,57481,83720,26653,56417,82524,23477,57860,89651,26594,61520,117198,39942,75748,96314,28504,66778,97411,27860,68625,97577,26811,70314,96373,25990,70383,95613,26240,69373,0,0,0
19,19,150094,118312,10878,17149,3355,1222,260,172747,134134,15423,17609,4144,1269,534,175457,132183,16344,18783,4735,3375,302,177736,135558,17218,18388,4549,1270,349,179723,136488,18254,17723,5194,1589,444,122249,99658,7753,11892,2486,938,174,139907,113000,10626,12791,2463,876,58,147545,115235,12036,13688,3570,2626,211,147545,115235,12036,11835,2737,340,61,714,4587,144562,115487,11689,13644,2733,940,55,147250,117893,12049,13077,3005,1017,80,79973,38405,40687,81151,36419,44732,93518,36302,53469,91559,33864,53851,84916,36069,48847,85017,35874,48146,84263,32847,49819,91504,36712,53129,111451,45668,64637,92798,35121,56846,89712,32149,56697,89825,30835,58489,88839,29755,59084,88092,30827,57265,64419,0,47969
20,20,164162,130516,11260,19476,1565,1954,240,167779,130726,14045,20165,1890,1965,206,175874,133866,15038,19734,2372,4596,406,171666,132362,14952,20953,2074,1997,277,177117,135637,15957,20878,1963,2124,227,127903,105454,7145,13010,1113,1481,158,130088,106875,7148,13492,881,1513,41,140566,111108,10033,13637,1709,3552,298,140566,111108,10033,12327,1135,554,82,416,4911,133279,109385,7730,13407,978,1531,70,137788,113182,8320,13684,887,1550,95,77201,27349,48718,74044,23974,50070,84231,22554,58714,82645,21395,57565,73112,22124,50988,73309,21507,50796,72730,19588,51914,79976,22215,56534,97655,27005,69544,78936,20267,57975,73847,17683,55369,73946,16984,56517,73289,16232,57057,72701,17250,55451,64228,3991,52035
21,21,161759,85933,14801,53205,7794,1586,250,166947,83836,18582,56844,7806,1722,221,176405,82366,24001,58009,10422,3296,288,166583,84203,19359,55464,7558,1859,250,171036,84038,21447,56984,7921,2624,414,132428,75775,11496,38048,6879,1247,173,128671,73014,11949,39233,3160,1157,89,143932,72883,18655,41777,8886,2571,222,143932,72883,18655,38662,7403,328,53,708,5240,128471,72660,12447,39180,2838,1129,85,132177,72443,14363,39960,3255,1598,115,71527,46549,23973,65117,42460,22657,70226,43532,23242,68709,40500,25614,60027,40728,19299,60203,40136,19372,59449,37778,20637,65645,42068,22370,77896,50191,26503,57784,35952,21046,46793,27632,18541,46856,27044,19347,46401,26816,19585,45963,27010,18953,46226,26426,18617
22,22,164093,124713,13466,17550,7726,1431,199,176337,130500,16434,18125,10667,1741,365,183529,130375,20053,17740,11660,3750,329,180927,131976,17546,18258,11959,1788,320,190230,136210,19861,18916,13347,1937,410,133170,103469,10358,12664,6098,1109,154,136444,107385,10703,11966,5169,947,62,149565,109721,15033,12721,8902,2883,230,149565,109721,15033,11008,7563,314,51,615,5260,140053,109665,11293,11976,5985,1008,47,148694,114104,12881,13278,7150,1109,28,85355,41712,42288,82036,38447,43589,90084,41095,44397,88456,37964,47464,80316,41649,38667,80466,39750,39724,79450,36577,41599,86099,40953,43618,100523,49007,50074,82300,38115,43156,75065,33085,41138,75191,32587,42100,74504,31980,42524,73690,32256,41434,74701,33162,40658
23,23,161296,143228,8495,6008,2671,1516,168,166133,144305,10421,6675,3477,1639,132,176178,148834,12027,7198,3515,3917,257,169165,146565,10717,6931,4064,1691,72,177101,150856,13247,7226,4363,2786,253,135386,122506,6020,3979,1984,1167,113,137558,123231,6321,4573,2045,1227,69,150289,129938,8748,5001,2731,3130,181,150289,129938,8748,3881,2162,486,32,442,4600,140680,125592,6911,4240,1989,1284,65,148170,130818,8983,4072,2013,1480,65,87269,35826,49932,83226,32275,50951,92069,26236,62269,89827,27482,56088,80766,26051,54715,81025,24431,54397,80461,21965,56622,87754,26052,59740,106811,31178,74554,89434,24563,64116,86553,22505,62953,86709,21825,64384,85946,20154,65792,85176,21758,63418,85882,21987,63673
24,24,147975,109223,20118,15049,3536,1419,230,164120,114929,25910,18077,4570,1129,191,175595,115335,31891,20265,5486,3677,324,166629,114055,27968,20043,4738,1141,315,179923,120374,29967,23723,4997,1465,117,118224,91790,13602,10070,2528,1042,158,129202,96437,16836,12331,2639,750,0,143416,99580,23020,14272,4111,2844,258,143416,99580,23020,12005,3363,296,57,663,4432,130953,96573,17532,12897,2826,812,0,140099,101937,19012,15148,2863,725,0,74906,31721,42179,75030,30946,44084,83185,29860,50303,81758,28182,49698,73836,28719,45117,73968,27866,44926,73307,25579,46586,80253,29546,49408,98382,37275,60112,80038,27841,51564,75674,25099,49894,75757,23823,51510,74988,22532,52456,74281,23868,50413,73861,20293,50121
