ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_OtherAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_18_SEN_Total,E_18_SEN_Dem,E_18_SEN_Rep,E_18_GOV_Total,E_18_GOV_Dem,E_18_GOV_Rep,E_18_AG_Total,E_18_AG_Dem,E_18_AG_Rep,E_16_20_COMP_Total,E_16_20_COMP_Dem,E_16_20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_16_22_COMP_Total,E_16_22_COMP_Dem,E_16_22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_GOV_Total,E_22_GOV_Dem,E_22_GOV_Rep,E_22_AG_Total,E_22_AG_Dem,E_22_AG_Rep,E_22_TREAS_Total,E_22_TREAS_Dem,E_22_TREAS_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep
1,1,471323,343801,21278,84359,16106,8895,1581,514064,365834,29320,92673,21009,10524,2755,539263,369651,34886,93917,23128,17785,2290,522606,368991,30324,94725,21851,10106,2634,539968,375059,33821,97118,23730,10972,2676,365245,275890,14747,57660,11656,6757,1053,393356,293734,18199,62745,10665,6495,435,425129,302734,24205,66429,16847,13681,1516,425129,302734,24205,60819,11887,2807,618,1934,20125,400868,297902,19009,64510,11440,6343,482,413206,306195,20113,66214,12319,6455,428,242160,83693,155581,233936,78332,155604,255531,78291,163910,251364,69798,170791,214910,74237,140673,215637,73287,139134,213781,66671,142798,239928,77267,157162,293087,101782,185604,227453,70742,153322,202075,58135,141334,202385,56885,143825,200811,55851,144960,199007,56866,142141,199393,68144,131249
2,2,491579,383714,26689,61335,14354,8536,1388,534902,404420,37773,68974,18050,9028,2372,538769,391461,44857,66607,20207,17224,2160,538584,405453,39332,68550,18531,9170,2344,546016,405891,41883,69019,19726,10672,1958,385909,308587,18171,43720,10326,6466,883,409383,325311,20480,47051,9068,6011,321,427245,320663,30427,48210,14591,13013,1361,427245,320663,30427,42936,9885,2042,505,1572,19215,411438,326698,21260,46028,9528,6170,346,417594,330290,22214,46067,10522,6149,383,241329,67849,170106,234763,62463,172300,258595,60842,185112,254350,55765,187220,203234,53824,149410,203244,52483,147610,201742,48609,149451,233396,57929,170650,289124,78205,206015,228292,53511,171859,208730,44490,161717,209144,43369,164418,207606,42808,164798,207141,41864,165277,207039,49813,157226
3,3,526626,327161,31233,154803,11396,5345,617,541857,326738,36776,162587,14199,4304,765,541142,317889,41647,157164,15775,10843,985,544372,326072,37272,163492,14047,4948,811,542670,322035,39062,161386,14735,7013,753,419531,269639,22936,116378,8545,4133,449,422585,270139,21125,121100,6571,2886,133,437027,266964,30836,119888,11976,8419,677,437027,266964,30836,113761,9278,1278,170,1371,13369,426605,271909,21669,122277,6611,3384,238,426800,270374,23606,120714,6961,4219,202,263020,138822,120908,256844,136480,120364,268164,132123,124986,263808,128805,126331,239452,130797,108655,239928,125201,111988,236670,116601,116312,255210,130108,121067,290917,148036,139302,240072,116404,121131,215771,100577,112777,216211,96428,118259,214095,91338,122757,212695,92685,120010,215171,101694,113149
4,4,451164,330843,33047,59452,26892,4428,1174,501176,351958,44899,69550,33599,4811,1766,542508,358540,55309,80547,38057,11183,1800,510986,353146,48771,71095,33620,4674,2113,541292,359226,55935,79530,37988,5978,2157,350324,266056,22919,40582,19288,3232,771,376560,282033,26579,46125,17665,2802,110,434081,298014,39866,58760,28618,8533,1263,434081,298014,39866,51356,23570,1009,434,2430,17402,382023,284294,29257,45740,18266,2758,222,405351,292377,33872,52880,20844,3356,322,225022,79136,144008,227010,76604,150406,259704,88823,158778,254966,72886,172479,230298,87914,142384,231013,89067,139882,228149,80087,144757,251356,89690,156770,306591,119520,182440,243712,85686,154911,223090,75024,145692,223360,72894,149033,221214,70162,151052,219768,71695,148073,78580,22267,56216
5,5,486413,222393,34731,212176,18266,4997,1166,518111,215425,49833,230136,23941,4537,1333,543411,209316,61829,243427,26690,10432,1522,523427,212244,51856,233463,25302,4727,1249,545954,217752,58444,241191,26880,5796,1570,367820,183719,24031,146278,13434,3732,794,372635,176373,25083,156279,11219,2699,235,419708,177567,43755,174685,19915,7942,1111,419708,177567,43755,163989,16190,1067,377,2353,14410,379378,176580,26183,161032,12113,2737,243,397124,184359,29803,166598,12561,2608,249,229916,134100,93932,221121,130297,90824,223861,127750,87160,219816,108256,103495,191473,116162,75311,192498,119017,71722,190555,110528,76892,210040,121663,84709,246485,148600,93888,186473,106378,77749,153653,83959,67653,153723,81916,70087,152360,79740,72620,151327,81983,69344,106238,63605,42497
6,6,490176,364977,33357,73334,16555,5278,894,527040,375386,45423,85076,20718,6178,1204,538821,366540,51759,86970,23032,12412,1501,531450,374798,46570,86536,20186,6835,1039,540401,376167,50198,86078,21507,7876,1289,380140,290044,23830,51920,12380,3763,590,402073,300448,28899,57648,10488,3531,151,425131,298978,37372,62251,17362,9295,973,425131,298978,37372,56126,13614,1216,358,1751,15716,406677,301648,29502,60576,10360,3895,161,414234,304280,32769,60268,11520,4654,178,235267,89705,142702,230291,84301,145990,255043,88355,155534,250345,79970,161139,222406,88177,134229,222887,86085,134433,220591,78618,138465,242271,88131,149799,288147,108416,175610,230005,80071,147225,206752,67308,137101,207046,65472,140170,205123,63970,141153,203438,65539,137899,205673,66577,137774
7,7,435320,352191,30388,41047,9749,3622,635,507058,401005,42788,45997,15002,4725,1214,541606,412063,49611,48482,20056,10619,1063,523180,409353,45582,48244,16048,4773,1288,550804,423351,50656,50973,18684,5067,937,343088,286435,20163,27882,6744,2738,417,393443,325464,26138,30553,7668,2918,192,432446,341529,33942,33767,13588,7993,717,432446,341529,33942,29261,10856,1080,201,1734,13843,405078,333760,27504,31671,8339,3073,214,425868,347864,30334,33970,10034,3109,169,228615,93097,133050,234186,87672,146514,273028,91948,170004,268078,82851,174887,249815,92301,157514,250239,91913,155571,247513,83047,160233,269584,93818,171059,334289,122003,208451,275401,91411,181352,267367,84420,180345,267770,80941,185380,264669,77907,186762,262489,80485,181975,133011,0,100385
8,8,482492,360179,53237,59449,9366,4854,681,522262,369353,71322,67469,13631,4205,776,543176,367496,81486,71394,14082,12249,1041,530145,373836,74965,66864,13460,4181,769,545629,374907,84487,70305,12826,4567,760,389296,303043,36507,41732,6891,3653,489,415372,312402,47692,45094,6722,2715,194,446999,317447,59039,51324,10811,9568,769,446999,317447,59039,44261,8291,1122,223,1961,14655,423641,316810,50791,45482,7247,2608,157,435856,320446,56728,47785,7251,3021,118,239557,123046,113795,220813,108153,112660,255152,104266,139808,249447,100008,136713,221405,98858,122546,221651,96146,122031,219607,87666,127468,243139,101916,136320,298564,125145,169718,236372,92852,141101,216754,80572,133875,217027,76373,139154,214423,72167,142256,212653,77051,135450,209405,52985,137943
9,9,475764,337739,47592,75588,13741,4611,669,502490,340941,60060,82502,16778,4617,706,536986,347633,74477,85741,19890,11618,996,513965,345300,64022,84791,18467,4832,828,539682,353550,73652,89222,20245,6314,672,384019,285275,33391,52969,10958,3551,473,391942,287206,37709,55560,7851,3092,104,438273,299187,54298,60701,15687,9110,754,438273,299187,54298,54144,12977,1157,163,1780,14567,401108,291807,40619,56162,8757,3209,96,422296,301080,47344,59347,10017,3436,85,231069,108306,119447,224239,101042,123197,245694,97538,138754,241001,92440,137504,215374,93432,121942,215851,90667,121865,213842,83681,126812,234334,95666,134871,284238,117532,163526,228027,87078,138890,209782,74689,132947,210091,71694,137056,208130,68953,139177,206174,71907,134267,203056,54304,134385
10,10,480327,324396,78133,58400,21371,4094,846,525154,321563,108782,70013,28884,5071,939,535435,307401,116320,73182,35632,10189,1265,530019,319845,111621,70864,30435,4924,920,536908,312657,118303,73987,32919,5726,1100,372006,261181,55372,40574,15382,2977,576,391456,259394,71225,42682,14516,2482,199,423987,255401,85451,53120,26130,7554,891,423987,255401,85451,43018,21709,680,209,2460,15059,395598,259721,73803,43608,15076,2387,195,400448,256750,77866,46101,16106,2299,147,238187,114775,121322,237874,111120,126754,260914,122993,123881,262080,109535,134461,229512,118493,111019,229831,116924,110264,226383,105593,116404,251228,121449,122912,300878,154944,141579,237098,113434,120440,212518,98980,111246,212619,94838,116255,209422,90596,118826,207128,92934,114194,209638,97244,111841
