last_name,district_number,mfh_member_id
Abbott,5,4864
Altman,32,4329
Alvarez,69,4889
Amesty,45,4876
Anderson,57,4885
Andrade,2,4710
Antone,41,4269
Arrington,46,4774
Baker,17,4866
Bankson,39,4873
Barnaby,29,4770
Bartleman,103,4793
Basabe,106,4900
Bell,49,4753
Beltran,70,4747
Benjamin,107,4795
Berfield,58,4210
Black,15,4865
Borrero,111,4794
Botana,80,4782
Brackett,34,4870
Bracy Davis,40,4874
Brannan III,10,4708
Buchanan,74,4731
Busatta Cabrera,114,4800
Campbell,99,4843
Canady,50,4879
Caruso,87,4754
Casello,90,4750
Cassel,101,4895
Chamberlin,24,4901
Chambliss,117,4798
Chaney,61,4778
Clemons,22,4655
Cross,60,4887
Daley,96,4757
Daniels,14,4652
Driskell,67,4745
Duggan,12,4712
Dunkley,97,4893
Edmonds,88,4842
Eskamani,42,4746
Esposito,77,4892
Fabricio,110,4792
Fine,33,4646
Franklin II,8,4863
Gantt,109,4897
Garcia,115,4899
Garrison,11,4767
Giallombardo,79,4783
Gonzalez Pittman,65,4888
Gossett-Seidman,91,4891
Gottlieb,102,4724
Grant,75,4349
Griffitts,6,4862
Harris,44,4877
Hart,63,4736
Hinson,21,4768
Holcomb,53,4890
Hunschofsky,95,4799
Jacques,59,4886
Joseph,108,4716
Keen,35,4903
Killebrew,48,4644
Koster,66,4779
LaMarca,100,4722
Leek,28,4662
López,43,4875
Lopez,113,4896
Maggard,54,4758
Maney,4,4764
Massullo,23,4624
McClain,27,4658
McClure,68,4686
McFarland,73,4780
Melo,82,4784
Michael,16,4869
Mooney,120,4797
Nixon,13,4766
Overdorf,85,4728
Payne,20,4653
Pending,72,4904
Perez,116,4690
Persons-Mulicka,78,4785
Plakon,36,4871
Plasencia,37,4872
Porras,119,4898
Rayner,62,4781
Redondo,118,4902
Renner,19,4619
Rizo,112,4796
Roach,76,4729
Robinson,104,4791
Robinson ,71,4733
Rommel,81,4634
Roth,94,4648
Rudman,3,4861
Salzman,1,4763
Shoaf,7,4756
Silvers,89,4627
Sirois,31,4748
Skidmore,92,4786
Smith,38,4718
Snyder,86,4787
Stark,47,4878
Steele,55,4881
Stevenson,18,4620
Tant,9,4765
Temple,52,4880
Tomkow,51,4704
Trabulsy,84,4788
Tramont,30,4867
Truenow,26,4772
Tuck,83,4776
Valdés,64,4752
Waldron,93,4894
Williams,98,4629
Woodson,105,4789
Yarkosky,25,4868
Yeager,56,4882
Fernandez-Barquin,118,4709
Gregory,72,4732
Harding,24,4769
Hawkins,35,4773
