"field_name","type","sample_value"
"people_id","integer","23319"
"vote_id","integer","2"
"vote_text","character","Nay"
"roll_call_id","factor","1316233"
"session","character","2023-2024_Regular_Session"
"person_hash","character","zh5hcllq"
"party_id","character","2"
"state_id","integer","9"
"party","character","R"
"role_id","integer","1"
"role","character","Rep"
"name","factor","Vicki Lopez"
"first_name","character","Vicki"
"middle_name","character",""
"last_name","character","Lopez"
"suffix","character",""
"nickname","character",""
"district","character","HD-113"
"ftm_eid","integer","55866559"
"votesmart_id","integer","209412"
"opensecrets_id","character",""
"knowwho_pid","integer","0"
"ballotpedia","character","Vicki_Lopez"
"bioguide_id","character",""
"committee_sponsor","integer","0"
"committee_id","integer","0"
"state_federal","integer","0"
"number","character","S1718"
"bill_id","integer","1728716"
"session_id","integer","1987"
"session_string","character","2023-2024_Regular_Session"
"session_name","character","2023 Regular Session"
"url","character","https://legiscan.com/FL/bill/S1718/2023"
"title","character","Immigration"
"description","character","Prohibiting counties and municipalities, respectively, from providing funds to any person, entity, or organization to issue identification documents to an individual who does not provide proof of lawful presence in the United States; specifying that certain driver licenses and permits issued by other states exclusively to unauthorized immigrants are not valid in this state; requiring certain hospitals to collect patient immigration status data information on admission or registration forms; requiring the Department of Economic Opportunity to enter a certain order and require repayment of certain economic development incentives if the department finds or is notified that an employer has knowingly employed an unauthorized alien without verifying the employment eligibility of such person, etc."
"status","integer","4"
"status_date","character","2023-05-11"
"progress","AsIs","list(c(""2023-03-07"", ""1""), c(""2023-03-09"", ""9""), c(""2023-04-28"", ""2""), c(""2023-04-28"", ""9""), c(""2023-05-02"", ""3""), c(""2023-05-10"", ""4""), c(""2023-05-11"", ""8""))"
